次の中で不安な気分を癒して緊張をほぐしてくれる香りはどれ？,1,レモン,ラベンダー,カモミール,レモングラス,正解：ラベンダー,心を落ち着かせる効果があります。不眠の時などにおすすめ。
気分転換したい時によい香りはどれ？,0,レモン,ベルガモット,オレンジ,ローズマリー,正解：レモン,甘酸っぱい香りが気持ちをリフレッシュしてくれます。
落ち込んでいる人に効果が期待できる香りはどれ？,2,レモングラス,バジル,ベルガモット,梅干し,正解：ベルガモット,ベルガモットの爽やかな香りは落ち込んだ時や緊張している気持ちをリフレッシュする効果が期待できます。
中枢神経をリラックスさせる効果がある香りはどれ？,3,レモンバーム,梅干し,ミント,レモングラス,正解：レモングラス,他にも消化促進作用、健胃作用もあると言われています。
怒りを抑える効果が期待できる香りはどれ？,1,アップルミント,カモミール,ローズマリー,パイナップル,正解：カモミール,怒りや不安を癒して心を落ち着かせてくれる効果があります。
疲労感を感じた時にいい香りは？,0,ペパーミント,レモン,オレンジ,レモングラス,正解：ペパーミント,風邪のときにも効果があると言われています。
心を元気にしてくれる香りは？,3,ラベンダー,オレンジ,梅干し,ローズマリー,正解：ローズマリー,他にも記憶力や集中力を高める効果があると言われています。
２０２５年に６５歳以上の５人に１人と言われる症状は次のうちどれか？,0,認知症,肺炎,熱中症,疥癬,正解：認知症,２０２５年には７００万人を超える高齢者が認知症に羅患すると厚生労働省は発表しています。
次のうち、認知症の原因になりうる要因として正しいものはどれか？,0,アルコール,塩分,糖分,炭水化物,正解：アルコール,アルコールは神経毒であり、長期にわたって大量に摂取すると神経細胞が死滅し、認知症となる可能性が考えられる。
初期症状で忘れていることを忘れている、認知症は次のうちどれか？,1,脳血管性認知症,アルツハイマー型認知症,レビー小体型認知症,前頭側頭型認知症,正解：アルツハイマー,この認知症の初期には、先ほど昼食を食べたこと自体を忘れてしまっている症状があります。
